,geopotential,specific_humidity,temperature,u_component_of_wind,v_component_of_wind,vertical_velocity,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,mean_sea_level_pressure,total_precipitation_6hr
2021-01-01T12:00,169.88954162597656,1.9861081668182123e-08,1.1732208728790283,2.2010884284973145,2.1699047088623047,0.0035224086605012417,0.43047091364860535,0.44036611914634705,0.44627299904823303,38.88926315307617,0.0005178231513127685
2021-01-01T18:00,237.9008026123047,3.0762663527639234e-08,1.4611998796463013,2.720928430557251,2.6130168437957764,0.0034121947828680277,0.4836235046386719,0.493990033864975,0.49113041162490845,42.54528045654297,0.0004974538460373878
2021-01-02T00:00,345.7295837402344,4.11511997810976e-08,1.8832809925079346,3.5618321895599365,3.1332685947418213,0.003467048518359661,0.5753449201583862,0.5958265662193298,0.5345206260681152,52.72898864746094,0.0004999595112167299
2021-01-02T06:00,464.60552978515625,5.033841432577901e-08,2.3176252841949463,4.269523620605469,3.4851813316345215,0.003371699946001172,0.6047874689102173,0.6227359175682068,0.5478150248527527,53.17793273925781,0.0004841670743189752
2021-01-02T12:00,587.541748046875,5.598415597773965e-08,2.8703248500823975,5.2571258544921875,3.775852918624878,0.003187098540365696,0.6927946209907532,0.7127742171287537,0.5954139232635498,62.57061004638672,0.0005050120525993407
2021-01-02T18:00,743.1292724609375,6.222289528068359e-08,3.453901767730713,5.798605918884277,4.539031028747559,0.003687561023980379,0.724494218826294,0.744356095790863,0.6168690919876099,63.571372985839844,0.0005323683726601303
2021-01-03T00:00,877.9478759765625,6.908248195713895e-08,3.9199647903442383,6.799290657043457,4.675081253051758,0.003464072709903121,0.805041491985321,0.8116511702537537,0.665391206741333,75.58981323242188,0.0005277427844703197
2021-01-03T06:00,1054.6002197265625,7.474390883999149e-08,4.421959400177002,7.284548282623291,4.926041603088379,0.0032322125043720007,0.8034396767616272,0.8471567630767822,0.6765086054801941,76.32479858398438,0.0005235114367678761
2021-01-03T12:00,1200.6383056640625,7.890019304568341e-08,4.798880577087402,8.161348342895508,4.970180511474609,0.0033196466974914074,0.8518783450126648,0.905689537525177,0.731666088104248,81.16940307617188,0.0005409018485806882
2021-01-03T18:00,1348.6370849609375,8.045417843050018e-08,5.241291046142578,8.759700775146484,5.229202747344971,0.003077592933550477,0.8708585500717163,0.920497477054596,0.7493953108787537,80.88337707519531,0.0005437925574369729
2021-01-04T00:00,1484.0760498046875,8.28274266950757e-08,5.602006435394287,9.165210723876953,5.335586071014404,0.0029710771050304174,0.9439119696617126,0.9700794219970703,0.7683702111244202,98.86763763427734,0.0005266855005174875
2021-01-04T06:00,1646.976806640625,8.695410969039585e-08,5.947425365447998,9.845069885253906,5.1182379722595215,0.003032437525689602,0.9940875172615051,1.0316123962402344,0.8046181201934814,104.87311553955078,0.0005218739970587194
2021-01-04T12:00,1746.2548828125,9.064962114280206e-08,6.072389602661133,10.226994514465332,5.244438648223877,0.0029349110554903746,1.0915006399154663,1.1288906335830688,0.8328748345375061,119.65786743164062,0.0005633552791550756
2021-01-04T18:00,1856.9027099609375,9.488172736382694e-08,6.230587005615234,10.758061408996582,5.2300286293029785,0.002865113317966461,1.1352808475494385,1.1645747423171997,0.8695799708366394,119.79281616210938,0.0005782911321148276
2021-01-05T00:00,1964.5391845703125,9.636729458861737e-08,6.257870674133301,11.043529510498047,5.243858814239502,0.002934581134468317,1.1816130876541138,1.1951862573623657,0.8876820206642151,133.8933563232422,0.0005429004086181521
2021-01-05T06:00,2036.8179931640625,9.865168948408609e-08,6.222775936126709,11.413996696472168,5.451115131378174,0.0028019628953188658,1.2024521827697754,1.2360029220581055,0.9019657373428345,132.20877075195312,0.0005444445996545255
2021-01-05T12:00,2070.3125,1.0010969475615639e-07,6.024958610534668,11.598755836486816,5.50769567489624,0.002824283903464675,1.2596606016159058,1.2786401510238647,0.9283615350723267,146.61563110351562,0.000584539258852601
2021-01-05T18:00,2075.945556640625,1.0158603203080929e-07,5.835384368896484,11.638893127441406,5.728621006011963,0.0027045898605138063,1.3276070356369019,1.3111801147460938,0.95338374376297,143.38490295410156,0.000588647264521569
2021-01-06T00:00,2106.199951171875,1.022201203682016e-07,5.83294677734375,12.033807754516602,6.049192905426025,0.00283040851354599,1.36616849899292,1.3351999521255493,0.9612651467323303,153.36874389648438,0.000551187782548368
2021-01-06T06:00,2105.95166015625,1.0203503819639081e-07,5.718748569488525,12.091590881347656,6.091598987579346,0.0028299172408878803,1.4191950559616089,1.3896418809890747,0.9594548344612122,154.0279541015625,0.0005437424988485873
2021-01-06T12:00,2085.436767578125,1.0078194634388637e-07,5.658144950866699,12.351480484008789,6.244425296783447,0.0026850602589547634,1.482513189315796,1.4742107391357422,0.9809134602546692,167.16827392578125,0.0005831126472912729
2021-01-06T18:00,2084.092041015625,1.0072265865801455e-07,5.57999324798584,12.554101943969727,6.1696672439575195,0.002644007094204426,1.5251379013061523,1.5451436042785645,1.0099660158157349,175.42288208007812,0.0006177885225042701
2021-01-07T00:00,2106.978759765625,1.0085985024943511e-07,5.620726585388184,12.579880714416504,6.047976016998291,0.0027060445863753557,1.6229190826416016,1.6518380641937256,1.0041136741638184,191.92710876464844,0.0005817816127091646
2021-01-07T06:00,2136.309326171875,1.0214053247636912e-07,5.51267671585083,12.639534950256348,5.84127950668335,0.002735544927418232,1.671142816543579,1.7538138628005981,1.0340322256088257,200.9796905517578,0.0006015080725774169
2021-01-07T12:00,2127.19287109375,1.0179550713473873e-07,5.411648750305176,12.598014831542969,5.982072830200195,0.002745195524767041,1.8058730363845825,1.8670793771743774,1.106782078742981,226.68673706054688,0.0006353966891765594
2021-01-07T18:00,2125.797119140625,1.0306294484507816e-07,5.353140830993652,12.730042457580566,5.841159343719482,0.002683549653738737,1.882286548614502,1.9616591930389404,1.155333161354065,235.612548828125,0.0006729754968546331
2021-01-08T00:00,2128.133544921875,1.0435979902467807e-07,5.279377460479736,12.905275344848633,5.864208698272705,0.002780207432806492,1.994062066078186,2.0540504455566406,1.2050526142120361,256.4151611328125,0.0006414143135771155
2021-01-08T06:00,2108.682861328125,1.0473559797219423e-07,5.028021335601807,12.611205101013184,5.86892032623291,0.0028197504580020905,2.0720252990722656,2.0843231678009033,1.2266231775283813,265.6109313964844,0.0006257325876504183
2021-01-08T12:00,2083.565185546875,1.0474185785369627e-07,4.822384357452393,12.271031379699707,6.141190052032471,0.0028340881690382957,2.126349687576294,2.137888193130493,1.301589846611023,285.5686950683594,0.000628175912424922
2021-01-08T18:00,2035.480224609375,1.0614971301947662e-07,4.503103733062744,12.064793586730957,5.972659587860107,0.002702212892472744,2.1348540782928467,2.1695077419281006,1.359229326248169,301.38214111328125,0.0006678919889964163
